"level","outcome","pass","style","rescueNo","source","granted","mode","intent","statedPct","targetPct","feasible","frustBefore","boardBefore","boardAfter","cardsDealt","cardsCleared","cardsOpened","deadCards","worstBlankRun","emptyRunNow","unspent","quality","outcome2","won"
"L1","Comfortable Lose","1","sloppy","1","+3 ad","3","near","progress","0","23","no","0","8","5","3","3","0","1","1","0","0","27","Partial comeback","no"
"L1","Comfortable Lose","1","sloppy","2","+5 coins","5","clutch","almost","35","35","yes","0","5","2","5","3","0","2","2","0","0","41","Near win","no"
"L1","Comfortable Lose","1","sloppy","3","+3 ad","3","tension","almost","47","47","yes","0","2","2","3","0","0","3","3","1","0","0","No recovery","no"
"L1","Comfortable Lose","1","sloppy","4","+5 coins","5","clutch","win","53","53","yes","1","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L2","Close Lose","1","greedy","1","+3 ad","3","almost","almost","23","23","yes","0","5","2","3","3","0","1","1","0","0","41","Near win","no"
"L2","Close Lose","1","greedy","2","+5 coins","5","hope","win","35","35","yes","0","2","0","2","2","0","0","0","0","0","44","Rescue win","yes"
"L2","Close Lose","1","random","1","+3 ad","3","tension","win","23","23","yes","0","5","0","3","5","0","0","0","0","0","66","Rescue win","yes"
"L2","Close Lose","1","safe","1","+3 ad","3","clutch","almost","23","23","yes","0","5","1","3","4","0","0","0","0","0","50","Near win","no"
"L2","Close Lose","1","safe","2","+5 coins","5","chain","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L2","Close Lose","1","safe","3","+3 ad","3","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L2","Close Lose","1","sloppy","1","+3 ad","3","clutch","win","23","23","yes","0","5","0","3","5","0","0","0","0","0","66","Rescue win","yes"
"L2","Comfortable Lose","1","greedy","1","+3 ad","3","bal","almost","23","23","yes","0","5","2","3","3","0","1","1","0","0","41","Near win","no"
"L2","Comfortable Lose","1","greedy","2","+5 coins","5","clutch","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L2","Comfortable Lose","1","greedy","3","+3 ad","3","hope","almost","47","47","yes","1","2","2","3","0","0","3","3","2","0","0","No recovery","no"
"L2","Comfortable Lose","1","greedy","4","+5 coins","5","near","win","98","98","yes","2","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L2","Comfortable Lose","1","random","1","+3 ad","3","tension","almost","23","23","yes","0","5","4","3","1","0","2","2","0","0","9","Partial comeback","no"
"L2","Comfortable Lose","1","random","2","+5 coins","5","tension","almost","35","35","yes","0","4","2","5","2","0","4","4","0","0","32","Near win","no"
"L2","Comfortable Lose","1","random","3","+3 ad","3","clutch","almost","47","47","yes","0","2","2","3","0","0","3","3","1","0","0","No recovery","no"
"L2","Comfortable Lose","1","random","4","+5 coins","5","almost","almost","53","53","yes","1","2","2","5","0","0","5","5","2","0","0","No recovery","no"
"L2","Comfortable Lose","1","random","5","+3 ad","3","hope","win","98","98","yes","2","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L2","Comfortable Lose","1","safe","1","+3 ad","3","clutch","almost","23","23","yes","0","5","2","3","3","0","1","1","0","0","41","Near win","no"
"L2","Comfortable Lose","1","safe","2","+5 coins","5","bal","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L2","Comfortable Lose","1","safe","3","+3 ad","3","hope","win","47","47","yes","1","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L2","Comfortable Lose","1","sloppy","1","+3 ad","3","tension","almost","23","23","yes","0","5","2","3","3","0","0","0","0","0","41","Near win","no"
"L2","Comfortable Lose","1","sloppy","2","+5 coins","5","near","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L2","Comfortable Lose","1","sloppy","3","+3 ad","3","clutch","win","47","47","yes","1","2","0","3","2","0","1","1","0","0","44","Rescue win","yes"
"L3","Close Lose","1","greedy","1","+3 ad","3","clutch","win","23","23","yes","0","3","0","3","3","0","0","0","0","0","53","Rescue win","yes"
"L3","Close Lose","1","random","1","+3 ad","3","clutch","almost","23","23","yes","0","3","1","3","2","0","1","1","0","0","32","Near win","no"
"L3","Close Lose","1","random","2","+5 coins","5","hope","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L3","Close Lose","1","random","3","+3 ad","3","hope","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L3","Close Lose","1","safe","1","+3 ad","3","clutch","almost","23","23","yes","0","3","1","3","2","0","1","1","0","0","32","Near win","no"
"L3","Close Lose","1","safe","2","+5 coins","5","clutch","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L3","Close Lose","1","sloppy","1","+3 ad","3","bal","almost","0","23","no","0","4","1","3","3","0","0","0","0","0","41","Near win","no"
"L3","Close Lose","1","sloppy","2","+5 coins","5","hope","win","35","35","yes","0","1","0","2","1","0","1","1","0","0","35","Rescue win","yes"
"L3","Comfortable Lose","1","greedy","1","+3 ad","3","almost","almost","0","23","no","0","6","3","3","3","0","2","2","0","0","27","Strong progress","no"
"L3","Comfortable Lose","1","greedy","2","+5 coins","5","clutch","almost","35","35","yes","0","3","1","5","2","0","3","3","0","0","32","Near win","no"
"L3","Comfortable Lose","1","greedy","3","+3 ad","3","tension","almost","47","47","yes","0","1","1","3","0","0","3","3","1","0","0","No recovery","no"
"L3","Comfortable Lose","1","greedy","4","+5 coins","5","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L3","Comfortable Lose","1","random","1","+3 ad","3","clutch","almost","0","23","no","0","6","3","3","3","0","2","2","0","0","27","Strong progress","no"
"L3","Comfortable Lose","1","random","2","+5 coins","5","bal","win","35","35","yes","0","3","0","3","3","0","0","0","0","0","53","Rescue win","yes"
"L3","Comfortable Lose","1","safe","1","+3 ad","3","near","almost","0","23","no","0","6","1","3","5","0","0","0","0","0","54","Near win","no"
"L3","Comfortable Lose","1","safe","2","+5 coins","5","hope","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L3","Comfortable Lose","1","safe","3","+3 ad","3","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L3","Comfortable Lose","1","sloppy","1","+3 ad","3","near","almost","0","23","no","0","6","1","3","5","0","0","0","0","0","54","Near win","no"
"L3","Comfortable Lose","1","sloppy","2","+5 coins","5","bal","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L3","Comfortable Lose","1","sloppy","3","+3 ad","3","almost","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L4","Close Lose","1","greedy","1","+3 ad","3","near","almost","23","23","yes","0","3","1","3","2","0","1","1","0","0","32","Near win","no"
"L4","Close Lose","1","greedy","2","+5 coins","5","clutch","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L4","Close Lose","1","greedy","3","+3 ad","3","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L4","Close Lose","1","random","1","+3 ad","3","near","almost","23","23","yes","0","3","1","3","2","0","1","1","0","0","32","Near win","no"
"L4","Close Lose","1","random","2","+5 coins","5","tension","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L4","Close Lose","1","random","3","+3 ad","3","tension","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L4","Close Lose","1","safe","1","+3 ad","3","clutch","almost","23","23","yes","0","3","1","3","2","0","1","1","0","0","32","Near win","no"
"L4","Close Lose","1","safe","2","+5 coins","5","bal","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L4","Close Lose","1","sloppy","1","+3 ad","3","hope","almost","23","23","yes","0","3","1","3","2","0","1","1","0","0","32","Near win","no"
"L4","Close Lose","1","sloppy","2","+5 coins","5","tension","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L4","Close Lose","1","sloppy","3","+3 ad","3","almost","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L4","Comfortable Lose","1","greedy","1","+3 ad","3","tension","almost","0","23","no","0","5","4","3","1","0","2","2","0","0","9","Partial comeback","no"
"L4","Comfortable Lose","1","greedy","2","+5 coins","5","tension","almost","35","35","yes","0","4","1","5","3","0","2","2","0","0","41","Near win","no"
"L4","Comfortable Lose","1","greedy","3","+3 ad","3","hope","almost","47","47","yes","0","1","1","3","0","0","3","3","1","0","0","No recovery","no"
"L4","Comfortable Lose","1","greedy","4","+5 coins","5","almost","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L4","Comfortable Lose","1","random","1","+3 ad","3","clutch","almost","0","23","no","0","5","2","3","3","0","0","0","0","0","41","Near win","no"
"L4","Comfortable Lose","1","random","2","+5 coins","5","tension","almost","35","35","yes","0","2","1","5","1","0","4","4","0","0","23","Near win","no"
"L4","Comfortable Lose","1","random","3","+3 ad","3","near","almost","47","47","yes","0","1","1","3","0","0","3","3","1","0","0","No recovery","no"
"L4","Comfortable Lose","1","random","4","+5 coins","5","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L4","Comfortable Lose","1","safe","1","+3 ad","3","chain","almost","0","23","no","0","5","2","3","3","0","0","0","0","0","41","Near win","no"
"L4","Comfortable Lose","1","safe","2","+5 coins","5","hope","win","35","35","yes","0","2","0","2","2","0","0","0","0","0","44","Rescue win","yes"
"L4","Comfortable Lose","1","sloppy","1","+3 ad","3","hope","progress","0","23","no","0","8","2","3","6","0","0","0","0","0","54","Near win","no"
"L4","Comfortable Lose","1","sloppy","2","+5 coins","5","clutch","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L4","Comfortable Lose","1","sloppy","3","+3 ad","3","almost","almost","47","47","yes","1","2","2","3","0","0","3","3","2","0","0","No recovery","no"
"L4","Comfortable Lose","1","sloppy","4","+5 coins","5","tension","win","98","98","yes","2","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L5","Close Lose","1","greedy","1","+3 ad","3","clutch","almost","0","23","no","0","4","1","3","3","0","0","0","0","0","41","Near win","no"
"L5","Close Lose","1","greedy","2","+5 coins","5","almost","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L5","Close Lose","1","random","1","+3 ad","3","almost","almost","0","23","no","0","4","1","3","3","0","0","0","0","0","41","Near win","no"
"L5","Close Lose","1","random","2","+5 coins","5","clutch","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L5","Close Lose","1","safe","1","+3 ad","3","hope","almost","0","23","no","0","4","1","3","3","0","0","0","0","0","41","Near win","no"
"L5","Close Lose","1","safe","2","+5 coins","5","near","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L5","Close Lose","1","sloppy","1","+3 ad","3","bal","almost","0","23","no","0","4","1","3","3","0","0","0","0","0","41","Near win","no"
"L5","Close Lose","1","sloppy","2","+5 coins","5","tension","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L5","Comfortable Lose","1","greedy","1","+3 ad","3","almost","almost","0","23","no","0","6","3","3","3","0","0","0","0","0","27","Strong progress","no"
"L5","Comfortable Lose","1","greedy","2","+5 coins","5","clutch","almost","35","35","yes","0","3","1","5","2","0","3","3","0","0","32","Near win","no"
"L5","Comfortable Lose","1","greedy","3","+3 ad","3","hope","win","47","47","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L5","Comfortable Lose","1","random","1","+3 ad","3","near","almost","0","23","no","0","6","3","3","3","0","0","0","0","0","27","Strong progress","no"
"L5","Comfortable Lose","1","random","2","+5 coins","5","clutch","almost","35","35","yes","0","3","1","5","2","0","3","3","0","0","32","Near win","no"
"L5","Comfortable Lose","1","random","3","+3 ad","3","chain","almost","47","47","yes","0","1","1","3","0","0","3","3","1","0","0","No recovery","no"
"L5","Comfortable Lose","1","random","4","+5 coins","5","hope","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L5","Comfortable Lose","1","safe","1","+3 ad","3","almost","almost","0","23","no","0","6","4","3","2","0","1","1","0","0","18","Partial comeback","no"
"L5","Comfortable Lose","1","safe","2","+5 coins","5","near","almost","35","35","yes","0","4","1","5","3","0","2","2","0","0","41","Near win","no"
"L5","Comfortable Lose","1","safe","3","+3 ad","3","clutch","win","47","47","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L5","Comfortable Lose","1","sloppy","1","+3 ad","3","chain","almost","0","23","no","0","6","3","3","3","0","0","0","0","0","27","Strong progress","no"
"L5","Comfortable Lose","1","sloppy","2","+5 coins","5","bal","almost","35","35","yes","0","3","1","5","2","0","3","3","0","0","32","Near win","no"
"L5","Comfortable Lose","1","sloppy","3","+3 ad","3","clutch","win","47","47","yes","0","1","0","3","1","0","2","2","0","0","35","Rescue win","yes"
"L6","Close Lose","1","greedy","1","+3 ad","3","almost","almost","0","23","no","0","5","1","3","4","2","0","0","0","0","58","Near win","no"
"L6","Close Lose","1","greedy","2","+5 coins","5","clutch","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L6","Close Lose","1","greedy","3","+3 ad","3","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L6","Close Lose","1","random","1","+3 ad","3","clutch","win","23","23","yes","0","2","0","2","2","0","0","0","0","0","44","Rescue win","yes"
"L6","Close Lose","1","sloppy","1","+3 ad","3","near","almost","23","23","yes","0","2","1","3","1","0","2","2","0","0","23","Near win","no"
"L6","Close Lose","1","sloppy","2","+5 coins","5","hope","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L6","Comfortable Lose","1","greedy","1","+3 ad","3","almost","almost","0","23","no","0","6","1","3","5","0","0","0","0","0","54","Near win","no"
"L6","Comfortable Lose","1","greedy","2","+5 coins","5","tension","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L6","Comfortable Lose","1","random","1","+3 ad","3","almost","almost","0","23","no","0","6","2","3","4","0","0","0","0","0","50","Near win","no"
"L6","Comfortable Lose","1","random","2","+5 coins","5","clutch","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L6","Comfortable Lose","1","random","3","+3 ad","3","clutch","almost","47","47","yes","1","2","2","3","0","0","3","3","2","0","0","No recovery","no"
"L6","Comfortable Lose","1","random","4","+5 coins","5","hope","win","98","98","yes","2","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L6","Comfortable Lose","1","safe","1","+3 ad","3","near","almost","0","23","no","0","6","1","3","5","0","0","0","0","0","54","Near win","no"
"L6","Comfortable Lose","1","safe","2","+5 coins","5","clutch","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L6","Comfortable Lose","1","sloppy","1","+3 ad","3","bal","almost","0","23","no","0","6","2","3","4","0","0","0","0","0","50","Near win","no"
"L6","Comfortable Lose","1","sloppy","2","+5 coins","5","almost","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L6","Comfortable Lose","1","sloppy","3","+3 ad","3","clutch","almost","47","47","yes","1","2","2","3","0","0","3","3","2","0","0","No recovery","no"
"L6","Comfortable Lose","1","sloppy","4","+5 coins","5","tension","win","98","98","yes","2","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L7","Close Lose","1","greedy","1","+3 ad","3","almost","win","23","23","yes","0","4","0","2","4","0","0","0","0","0","62","Rescue win","yes"
"L7","Close Lose","1","random","1","+3 ad","3","clutch","almost","23","23","yes","0","4","1","3","3","0","1","1","0","0","41","Near win","no"
"L7","Close Lose","1","random","2","+5 coins","5","bal","win","35","35","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L7","Close Lose","1","safe","1","+3 ad","3","almost","win","23","23","yes","0","4","0","2","4","0","0","0","0","0","62","Rescue win","yes"
"L7","Close Lose","1","sloppy","1","+3 ad","3","clutch","almost","23","23","yes","0","4","1","3","3","0","0","0","0","0","41","Near win","no"
"L7","Close Lose","1","sloppy","2","+5 coins","5","hope","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L7","Close Lose","1","sloppy","3","+3 ad","3","hope","win","98","98","yes","1","1","0","2","1","0","1","1","0","0","35","Rescue win","yes"
"L7","Comfortable Lose","1","greedy","1","+3 ad","3","near","win","23","23","yes","0","2","0","2","2","0","0","0","0","0","44","Rescue win","yes"
"L7","Comfortable Lose","1","random","1","+3 ad","3","bal","almost","23","23","yes","0","3","2","3","1","0","2","2","0","0","23","Near win","no"
"L7","Comfortable Lose","1","random","2","+5 coins","5","hope","win","35","35","yes","0","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L7","Comfortable Lose","1","safe","1","+3 ad","3","clutch","almost","23","23","yes","0","5","1","3","4","0","1","1","0","0","50","Near win","no"
"L7","Comfortable Lose","1","safe","2","+5 coins","5","tension","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L7","Comfortable Lose","1","safe","3","+3 ad","3","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L7","Comfortable Lose","1","sloppy","1","+3 ad","3","near","almost","23","23","yes","0","4","1","3","3","0","1","1","0","0","41","Near win","no"
"L7","Comfortable Lose","1","sloppy","2","+5 coins","5","hope","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L7","Comfortable Lose","1","sloppy","3","+3 ad","3","hope","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L8","Close Lose","1","greedy","1","+3 ad","3","clutch","almost","0","23","no","0","5","2","3","3","0","0","0","0","0","41","Near win","no"
"L8","Close Lose","1","greedy","2","+5 coins","5","hope","almost","35","35","yes","0","2","1","5","1","0","4","4","0","0","23","Near win","no"
"L8","Close Lose","1","greedy","3","+3 ad","3","clutch","almost","47","47","yes","0","1","1","3","0","0","3","3","1","0","0","No recovery","no"
"L8","Close Lose","1","greedy","4","+5 coins","5","chain","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L8","Close Lose","1","random","1","+3 ad","3","near","almost","0","23","no","0","5","3","3","2","0","1","1","0","0","18","Partial comeback","no"
"L8","Close Lose","1","random","2","+5 coins","5","tension","win","35","35","yes","0","3","0","3","3","0","0","0","0","0","53","Rescue win","yes"
"L8","Close Lose","1","safe","1","+3 ad","3","hope","almost","0","23","no","0","5","4","3","1","0","2","2","0","0","9","Partial comeback","no"
"L8","Close Lose","1","safe","2","+5 coins","5","almost","almost","35","35","yes","0","4","1","5","3","0","2","2","0","0","41","Near win","no"
"L8","Close Lose","1","safe","3","+3 ad","3","near","almost","47","47","yes","0","1","1","3","0","0","3","3","1","0","0","No recovery","no"
"L8","Close Lose","1","safe","4","+5 coins","5","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L8","Close Lose","1","sloppy","1","+3 ad","3","almost","almost","0","23","no","0","5","3","3","2","0","1","1","0","0","18","Partial comeback","no"
"L8","Close Lose","1","sloppy","2","+5 coins","5","near","almost","35","35","yes","0","3","2","5","1","0","4","2","0","0","23","Near win","no"
"L8","Close Lose","1","sloppy","3","+3 ad","3","clutch","almost","47","47","yes","0","2","1","3","1","0","2","2","0","0","23","Near win","no"
"L8","Close Lose","1","sloppy","4","+5 coins","5","hope","almost","53","53","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L8","Close Lose","1","sloppy","5","+3 ad","3","hope","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L8","Comfortable Lose","1","greedy","1","+3 ad","3","hope","almost","0","23","no","0","6","3","3","3","0","0","0","0","0","27","Strong progress","no"
"L8","Comfortable Lose","1","greedy","2","+5 coins","5","clutch","win","35","35","yes","0","3","0","3","3","0","0","0","0","0","53","Rescue win","yes"
"L8","Comfortable Lose","1","random","1","+3 ad","3","almost","almost","0","23","no","0","6","3","3","3","0","0","0","0","0","27","Strong progress","no"
"L8","Comfortable Lose","1","random","2","+5 coins","5","tension","almost","35","35","yes","0","3","1","5","2","0","3","2","0","0","32","Near win","no"
"L8","Comfortable Lose","1","random","3","+3 ad","3","clutch","win","47","47","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L8","Comfortable Lose","1","safe","1","+3 ad","3","tension","almost","0","23","no","0","6","5","3","1","0","2","2","0","0","9","Partial comeback","no"
"L8","Comfortable Lose","1","safe","2","+5 coins","5","near","almost","35","35","yes","0","5","2","5","3","0","2","1","0","0","41","Near win","no"
"L8","Comfortable Lose","1","safe","3","+3 ad","3","clutch","almost","47","47","yes","0","2","2","3","0","0","3","3","1","0","0","No recovery","no"
"L8","Comfortable Lose","1","safe","4","+5 coins","5","almost","win","53","53","yes","1","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L8","Comfortable Lose","1","sloppy","1","+3 ad","3","bal","progress","0","23","no","0","9","6","3","3","0","0","0","0","0","27","Partial comeback","no"
"L8","Comfortable Lose","1","sloppy","2","+5 coins","5","almost","win","35","35","yes","0","6","0","4","6","0","1","1","0","0","66","Rescue win","yes"
"L9","Close Lose","1","greedy","1","+3 ad","3","almost","win","23","23","yes","0","4","0","2","4","0","0","0","0","0","62","Rescue win","yes"
"L9","Close Lose","1","random","1","+3 ad","3","bal","almost","0","23","no","0","3","1","3","2","1","1","1","0","0","36","Near win","no"
"L9","Close Lose","1","random","2","+5 coins","5","clutch","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L9","Close Lose","1","random","3","+3 ad","3","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L9","Close Lose","1","safe","1","+3 ad","3","tension","almost","0","23","no","0","4","1","3","3","2","1","1","0","0","49","Near win","no"
"L9","Close Lose","1","safe","2","+5 coins","5","near","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
"L9","Close Lose","1","safe","3","+3 ad","3","hope","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L9","Close Lose","1","sloppy","1","+3 ad","3","almost","almost","0","23","no","0","4","2","3","2","1","1","1","0","0","36","Near win","no"
"L9","Close Lose","1","sloppy","2","+5 coins","5","clutch","almost","0","35","no","0","2","1","5","1","1","4","3","0","0","27","Near win","no"
"L9","Close Lose","1","sloppy","3","+3 ad","3","clutch","almost","47","47","yes","0","1","1","3","0","0","3","3","1","0","0","No recovery","no"
"L9","Close Lose","1","sloppy","4","+5 coins","5","clutch","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L9","Comfortable Lose","1","greedy","1","+3 ad","3","chain","almost","0","23","no","0","6","2","3","4","1","0","0","0","0","54","Near win","no"
"L9","Comfortable Lose","1","greedy","2","+5 coins","5","clutch","almost","0","35","no","0","2","1","5","1","1","4","4","0","0","27","Near win","no"
"L9","Comfortable Lose","1","greedy","3","+3 ad","3","clutch","win","47","47","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L9","Comfortable Lose","1","random","1","+3 ad","3","almost","almost","0","23","no","0","6","4","3","2","1","2","2","0","0","22","Partial comeback","no"
"L9","Comfortable Lose","1","random","2","+5 coins","5","near","almost","0","35","no","0","4","1","5","3","2","2","2","0","0","49","Near win","no"
"L9","Comfortable Lose","1","random","3","+3 ad","3","clutch","almost","47","47","yes","0","1","1","3","0","0","3","3","1","0","0","No recovery","no"
"L9","Comfortable Lose","1","random","4","+5 coins","5","bal","win","98","98","yes","1","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L9","Comfortable Lose","1","safe","1","+3 ad","3","chain","win","23","23","yes","0","3","0","3","3","0","0","0","0","0","53","Rescue win","yes"
"L9","Comfortable Lose","1","sloppy","1","+3 ad","3","almost","almost","0","23","no","0","6","4","3","2","0","2","2","0","0","18","Partial comeback","no"
"L9","Comfortable Lose","1","sloppy","2","+5 coins","5","tension","almost","0","35","no","0","4","1","5","3","1","3","3","0","0","45","Near win","no"
"L9","Comfortable Lose","1","sloppy","3","+3 ad","3","near","win","47","47","yes","0","1","0","1","1","0","0","0","0","0","35","Immediate win","yes"
"L10","Close Lose","1","greedy","1","+3 ad","3","near","almost","0","23","no","0","4","1","3","3","2","1","1","0","0","49","Near win","no"
"L10","Close Lose","1","greedy","2","+5 coins","5","hope","almost","35","35","yes","0","1","1","5","0","0","5","5","1","0","0","No recovery","no"
